fleet,year,seas,Fvalue,se,phase
3,2061,1,0.236814603,0.005,1
3,2062,1,0.236814603,0.005,1
3,2063,1,0.236814603,0.005,1
3,2064,1,0.236814603,0.005,1
3,2065,1,0.236814603,0.005,1
3,2066,1,0.236814603,0.005,1
3,2067,1,0.236814603,0.005,1
3,2068,1,0.236814603,0.005,1
3,2069,1,0.236814603,0.005,1
3,2070,1,0.236814603,0.005,1
3,2071,1,0.236814603,0.005,1
3,2072,1,0.236814603,0.005,1
3,2073,1,0.236814603,0.005,1
3,2074,1,0.236814603,0.005,1
4,1962,1,0,0.005,1
4,1963,1,0,0.005,1
4,1964,1,0,0.005,1
4,1965,1,0,0.005,1
4,1966,1,0,0.005,1
4,1967,1,0,0.005,1
4,1968,1,0,0.005,1
4,1969,1,0,0.005,1
4,1970,1,0,0.005,1
4,1971,1,0,0.005,1
4,1972,1,0,0.005,1
4,1973,1,0,0.005,1
4,1974,1,0,0.005,1
4,1975,1,0,0.005,1
4,1976,1,0,0.005,1
4,1977,1,0,0.005,1
4,1978,1,0,0.005,1
4,1979,1,0,0.005,1
4,1980,1,0,0.005,1
4,1981,1,0,0.005,1
4,1982,1,0,0.005,1
4,1983,1,0,0.005,1
4,1984,1,0,0.005,1
4,1985,1,0,0.005,1
4,1986,1,0,0.005,1
4,1987,1,0,0.005,1
4,1988,1,0,0.005,1
4,1989,1,0,0.005,1
4,1990,1,0,0.005,1
4,1991,1,0,0.005,1
4,1992,1,0,0.005,1
4,1993,1,0,0.005,1
4,1994,1,0,0.005,1
4,1995,1,0,0.005,1
4,1996,1,0,0.005,1
4,1997,1,0,0.005,1
4,1998,1,0,0.005,1
4,1999,1,0,0.005,1
4,2000,1,0,0.005,1
4,2001,1,0,0.005,1
4,2002,1,0,0.005,1
4,2003,1,0,0.005,1
4,2004,1,0,0.005,1
4,2005,1,0,0.005,1
4,2006,1,0.485196,0.005,1
4,2007,1,0.469827,0.005,1
4,2008,1,0.203252,0.005,1
4,2009,1,0.536761,0.005,1
4,2010,1,0.904455,0.005,1
4,2011,1,1.08834,0.005,1
4,2012,1,1.31728,0.005,1
4,2013,1,0.598591,0.005,1
4,2014,1,0.534719,0.005,1
4,2015,1,0.479174,0.005,1
4,2016,1,0.398987,0.005,1
4,2017,1,0.322835,0.005,1
4,2018,1,0.414315,0.005,1
4,2019,1,0.973164,0.005,1
4,2020,1,0.80705,0.005,1
4,2021,1,0.615782,0.005,1
4,2022,1,0.52866,0.005,1
4,2023,1,0.563946,0.005,1
4,2024,1,0.26051,0.005,1
4,2025,1,0.096292775,0.005,1
4,2026,1,0.096292775,0.005,1
4,2027,1,0.096292775,0.005,1
4,2028,1,0.096292775,0.005,1
4,2029,1,0.096292775,0.005,1
4,2030,1,0.096292775,0.005,1
4,2031,1,0.096292775,0.005,1
4,2032,1,0.096292775,0.005,1
4,2033,1,0.096292775,0.005,1
4,2034,1,0.096292775,0.005,1
4,2035,1,0.096292775,0.005,1
4,2036,1,0.096292775,0.005,1
4,2037,1,0.096292775,0.005,1
4,2038,1,0.096292775,0.005,1
4,2039,1,0.096292775,0.005,1
4,2040,1,0.096292775,0.005,1
4,2041,1,0.096292775,0.005,1
4,2042,1,0.096292775,0.005,1
4,2043,1,0.096292775,0.005,1
4,2044,1,0.096292775,0.005,1
4,2045,1,0.096292775,0.005,1
4,2046,1,0.096292775,0.005,1
4,2047,1,0.096292775,0.005,1
4,2048,1,0.096292775,0.005,1
4,2049,1,0.096292775,0.005,1
4,2050,1,0.096292775,0.005,1
4,2051,1,0.096292775,0.005,1
4,2052,1,0.096292775,0.005,1
4,2053,1,0.096292775,0.005,1
4,2054,1,0.096292775,0.005,1
4,2055,1,0.096292775,0.005,1
4,2056,1,0.096292775,0.005,1
4,2057,1,0.096292775,0.005,1
4,2058,1,0.096292775,0.005,1
4,2059,1,0.096292775,0.005,1
4,2060,1,0.096292775,0.005,1
4,2061,1,0.096292775,0.005,1
4,2062,1,0.096292775,0.005,1
4,2063,1,0.096292775,0.005,1
4,2064,1,0.096292775,0.005,1
4,2065,1,0.096292775,0.005,1
4,2066,1,0.096292775,0.005,1
4,2067,1,0.096292775,0.005,1
4,2068,1,0.096292775,0.005,1
4,2069,1,0.096292775,0.005,1
4,2070,1,0.096292775,0.005,1
4,2071,1,0.096292775,0.005,1
4,2072,1,0.096292775,0.005,1
4,2073,1,0.096292775,0.005,1
4,2074,1,0.096292775,0.005,1
5,1962,1,0,0.005,1
5,1963,1,0,0.005,1
5,1964,1,0,0.005,1
5,1965,1,0,0.005,1
5,1966,1,0,0.005,1
5,1967,1,0,0.005,1
5,1968,1,0,0.005,1
5,1969,1,0,0.005,1
5,1970,1,0,0.005,1
5,1971,1,0,0.005,1
5,1972,1,0,0.005,1
5,1973,1,0,0.005,1
5,1974,1,0,0.005,1
5,1975,1,0,0.005,1
5,1976,1,0,0.005,1
5,1977,1,0,0.005,1
5,1978,1,0,0.005,1
5,1979,1,0,0.005,1
5,1980,1,0,0.005,1
5,1981,1,0,0.005,1
5,1982,1,0,0.005,1
5,1983,1,0,0.005,1
5,1984,1,0,0.005,1
5,1985,1,0,0.005,1
5,1986,1,0,0.005,1
5,1987,1,0,0.005,1
5,1988,1,0,0.005,1
5,1989,1,0,0.005,1
5,1990,1,0,0.005,1
5,1991,1,0,0.005,1
5,1992,1,0,0.005,1
5,1993,1,0,0.005,1
5,1994,1,0,0.005,1
5,1995,1,0,0.005,1
5,1996,1,0,0.005,1
5,1997,1,0,0.005,1
5,1998,1,0,0.005,1
5,1999,1,0,0.005,1
5,2000,1,0,0.005,1
5,2001,1,0,0.005,1
5,2002,1,0,0.005,1
5,2003,1,0,0.005,1
5,2004,1,0,0.005,1
5,2005,1,0,0.005,1
5,2006,1,0.000589977,0.005,1
5,2007,1,0.00996925,0.005,1
5,2008,1,0.00773289,0.005,1
5,2009,1,0.607224,0.005,1
5,2010,1,0.909676,0.005,1
5,2011,1,0.0633596,0.005,1
5,2012,1,0.049163,0.005,1
5,2013,1,0.0292771,0.005,1
5,2014,1,0.141824,0.005,1
5,2015,1,0.251388,0.005,1
5,2016,1,0.165035,0.005,1
5,2017,1,0.647908,0.005,1
5,2018,1,0.463646,0.005,1
5,2019,1,0.174429,0.005,1
5,2020,1,0.17957,0.005,1
5,2021,1,0.238725,0.005,1
5,2022,1,0.25986,0.005,1
5,2023,1,0.385436,0.005,1
5,2024,1,0.418266,0.005,1
5,2025,1,0.147497,0.005,1
5,2026,1,0.063690842,0.005,1
5,2027,1,0.063690842,0.005,1
5,2028,1,0.063690842,0.005,1
5,2029,1,0.063690842,0.005,1
5,2030,1,0.063690842,0.005,1
5,2031,1,0.063690842,0.005,1
5,2032,1,0.063690842,0.005,1
5,2033,1,0.063690842,0.005,1
5,2034,1,0.063690842,0.005,1
5,2035,1,0.063690842,0.005,1
5,2036,1,0.063690842,0.005,1
5,2037,1,0.063690842,0.005,1
5,2038,1,0.063690842,0.005,1
5,2039,1,0.063690842,0.005,1
5,2040,1,0.063690842,0.005,1
5,2041,1,0.063690842,0.005,1
5,2042,1,0.063690842,0.005,1
5,2043,1,0.063690842,0.005,1
5,2044,1,0.063690842,0.005,1
5,2045,1,0.063690842,0.005,1
5,2046,1,0.063690842,0.005,1
5,2047,1,0.063690842,0.005,1
5,2048,1,0.063690842,0.005,1
5,2049,1,0.063690842,0.005,1
5,2050,1,0.063690842,0.005,1
5,2051,1,0.063690842,0.005,1
5,2052,1,0.063690842,0.005,1
5,2053,1,0.063690842,0.005,1
5,2054,1,0.063690842,0.005,1
5,2055,1,0.063690842,0.005,1
5,2056,1,0.063690842,0.005,1
5,2057,1,0.063690842,0.005,1
5,2058,1,0.063690842,0.005,1
5,2059,1,0.063690842,0.005,1
5,2060,1,0.063690842,0.005,1
5,2061,1,0.063690842,0.005,1
5,2062,1,0.063690842,0.005,1
5,2063,1,0.063690842,0.005,1
5,2064,1,0.063690842,0.005,1
5,2065,1,0.063690842,0.005,1
5,2066,1,0.063690842,0.005,1
5,2067,1,0.063690842,0.005,1
5,2068,1,0.063690842,0.005,1
5,2069,1,0.063690842,0.005,1
5,2070,1,0.063690842,0.005,1
5,2071,1,0.063690842,0.005,1
5,2072,1,0.063690842,0.005,1
5,2073,1,0.063690842,0.005,1
5,2074,1,0.063690842,0.005,1
6,1962,1,0.019653,0.005,1
6,1963,1,0.0186708,0.005,1
6,1964,1,0.0180589,0.005,1
6,1965,1,0.0177618,0.005,1
6,1966,1,0.0176466,0.005,1
6,1967,1,0.0176379,0.005,1
6,1968,1,0.0177236,0.005,1
6,1969,1,0.0179155,0.005,1
6,1970,1,0.0182166,0.005,1
6,1971,1,0.0186588,0.005,1
6,1972,1,0.0192828,0.005,1
6,1973,1,0.0201493,0.005,1
6,1974,1,0.0213557,0.005,1
6,1975,1,0.0230111,0.005,1
6,1976,1,0.0254511,0.005,1
6,1977,1,0.0287302,0.005,1
6,1978,1,0.0326663,0.005,1
6,1979,1,0.0415639,0.005,1
6,1980,1,0.0518026,0.005,1
6,1981,1,0.055517,0.005,1
6,1982,1,0.0408662,0.005,1
6,1983,1,0.039471,0.005,1
6,1984,1,0.0390553,0.005,1
6,1985,1,0.0401803,0.005,1
6,1986,1,0.0451539,0.005,1
6,1987,1,0.0559865,0.005,1
6,1988,1,0.0335144,0.005,1
6,1989,1,0.0276498,0.005,1
6,1990,1,0.0202284,0.005,1
6,1991,1,0.0226565,0.005,1
6,1992,1,0.0228821,0.005,1
6,1993,1,0.025987,0.005,1
6,1994,1,0.0323154,0.005,1
6,1995,1,0.0379606,0.005,1
6,1996,1,0.0271431,0.005,1
6,1997,1,0.0241313,0.005,1
6,1998,1,0.0296411,0.005,1
6,1999,1,0.0324458,0.005,1
6,2000,1,0.0367144,0.005,1
6,2001,1,0.0382795,0.005,1
6,2002,1,0.0356103,0.005,1
6,2003,1,0.0380764,0.005,1
6,2004,1,0.0481184,0.005,1
6,2005,1,0.0776783,0.005,1
6,2006,1,0,0.005,1
6,2007,1,0,0.005,1
6,2008,1,0,0.005,1
6,2009,1,0,0.005,1
6,2010,1,0,0.005,1
6,2011,1,0,0.005,1
6,2012,1,0,0.005,1
6,2013,1,0,0.005,1
6,2014,1,0,0.005,1
6,2015,1,0,0.005,1
6,2016,1,0,0.005,1
6,2017,1,0,0.005,1
6,2018,1,0,0.005,1
6,2019,1,0,0.005,1
6,2020,1,0,0.005,1
6,2021,1,0,0.005,1
6,2022,1,0,0.005,1
6,2023,1,0,0.005,1
6,2024,1,0,0.005,1
6,2025,1,0,0.005,1
6,2026,1,0,0.005,1
6,2027,1,0,0.005,1
6,2028,1,0,0.005,1
6,2029,1,0,0.005,1
6,2030,1,0,0.005,1
6,2031,1,0,0.005,1
6,2032,1,0,0.005,1
6,2033,1,0,0.005,1
6,2034,1,0,0.005,1
6,2035,1,0,0.005,1
6,2036,1,0,0.005,1
6,2037,1,0,0.005,1
6,2038,1,0,0.005,1
6,2039,1,0,0.005,1
6,2040,1,0,0.005,1
6,2041,1,0,0.005,1
6,2042,1,0,0.005,1
6,2043,1,0,0.005,1
6,2044,1,0,0.005,1
6,2045,1,0,0.005,1
6,2046,1,0,0.005,1
6,2047,1,0,0.005,1
6,2048,1,0,0.005,1
6,2049,1,0,0.005,1
6,2050,1,0,0.005,1
6,2051,1,0,0.005,1
6,2052,1,0,0.005,1
6,2053,1,0,0.005,1
6,2054,1,0,0.005,1
6,2055,1,0,0.005,1
6,2056,1,0,0.005,1
6,2057,1,0,0.005,1
6,2058,1,0,0.005,1
6,2059,1,0,0.005,1
6,2060,1,0,0.005,1
6,2061,1,0,0.005,1
6,2062,1,0,0.005,1
6,2063,1,0,0.005,1
6,2064,1,0,0.005,1
6,2065,1,0,0.005,1
6,2066,1,0,0.005,1
6,2067,1,0,0.005,1
6,2068,1,0,0.005,1
6,2069,1,0,0.005,1
6,2070,1,0,0.005,1
6,2071,1,0,0.005,1
6,2072,1,0,0.005,1
6,2073,1,0,0.005,1
6,2074,1,0,0.005,1
7,1962,1,0,0.005,1
7,1963,1,0,0.005,1
7,1964,1,0,0.005,1
7,1965,1,0,0.005,1
7,1966,1,0,0.005,1
7,1967,1,0,0.005,1
7,1968,1,0,0.005,1
7,1969,1,0,0.005,1
7,1970,1,0,0.005,1
7,1971,1,0,0.005,1
7,1972,1,0,0.005,1
7,1973,1,0,0.005,1
7,1974,1,0,0.005,1
7,1975,1,0,0.005,1
7,1976,1,0,0.005,1
7,1977,1,0,0.005,1
7,1978,1,0,0.005,1
7,1979,1,0,0.005,1
7,1980,1,0,0.005,1
7,1981,1,0,0.005,1
7,1982,1,0,0.005,1
7,1983,1,0,0.005,1
7,1984,1,0,0.005,1
7,1985,1,0,0.005,1
7,1986,1,0,0.005,1
7,1987,1,0,0.005,1
7,1988,1,0,0.005,1
7,1989,1,0,0.005,1
7,1990,1,0,0.005,1
7,1991,1,0,0.005,1
7,1992,1,0,0.005,1
7,1993,1,0,0.005,1
7,1994,1,0,0.005,1
7,1995,1,0,0.005,1
7,1996,1,0,0.005,1
7,1997,1,0,0.005,1
7,1998,1,0,0.005,1
7,1999,1,0,0.005,1
7,2000,1,0,0.005,1
7,2001,1,0,0.005,1
7,2002,1,0,0.005,1
7,2003,1,0,0.005,1
7,2004,1,0,0.005,1
7,2005,1,0,0.005,1
7,2006,1,0.0133709,0.005,1
7,2007,1,0.0154388,0.005,1
7,2008,1,0.0294241,0.005,1
7,2009,1,0.0209597,0.005,1
7,2010,1,0.0212594,0.005,1
7,2011,1,0.0167229,0.005,1
7,2012,1,0.0221971,0.005,1
7,2013,1,0.0246006,0.005,1
7,2014,1,0.0162703,0.005,1
7,2015,1,0.00441677,0.005,1
7,2016,1,0.0106008,0.005,1
7,2017,1,0.00613647,0.005,1
7,2018,1,0.00256535,0.005,1
7,2019,1,0.00739691,0.005,1
7,2020,1,0.00345284,0.005,1
7,2021,1,0.00520643,0.005,1
7,2022,1,0.0124919,0.005,1
7,2023,1,0.00925961,0.005,1
7,2024,1,0.00698758,0.005,1
7,2025,1,0.00384467,0.005,1
7,2026,1,0.001660169,0.005,1
7,2027,1,0.001660169,0.005,1
7,2028,1,0.001660169,0.005,1
7,2029,1,0.001660169,0.005,1
7,2030,1,0.001660169,0.005,1
7,2031,1,0.001660169,0.005,1
7,2032,1,0.001660169,0.005,1
7,2033,1,0.001660169,0.005,1
7,2034,1,0.001660169,0.005,1
7,2035,1,0.001660169,0.005,1
7,2036,1,0.001660169,0.005,1
7,2037,1,0.001660169,0.005,1
7,2038,1,0.001660169,0.005,1
7,2039,1,0.001660169,0.005,1
7,2040,1,0.001660169,0.005,1
7,2041,1,0.001660169,0.005,1
7,2042,1,0.001660169,0.005,1
7,2043,1,0.001660169,0.005,1
7,2044,1,0.001660169,0.005,1
7,2045,1,0.001660169,0.005,1
7,2046,1,0.001660169,0.005,1
7,2047,1,0.001660169,0.005,1
7,2048,1,0.001660169,0.005,1
7,2049,1,0.001660169,0.005,1
7,2050,1,0.001660169,0.005,1
7,2051,1,0.001660169,0.005,1
7,2052,1,0.001660169,0.005,1
7,2053,1,0.001660169,0.005,1
7,2054,1,0.001660169,0.005,1
7,2055,1,0.001660169,0.005,1
7,2056,1,0.001660169,0.005,1
7,2057,1,0.001660169,0.005,1
7,2058,1,0.001660169,0.005,1
7,2059,1,0.001660169,0.005,1
7,2060,1,0.001660169,0.005,1
7,2061,1,0.001660169,0.005,1
7,2062,1,0.001660169,0.005,1
7,2063,1,0.001660169,0.005,1
7,2064,1,0.001660169,0.005,1
7,2065,1,0.001660169,0.005,1
7,2066,1,0.001660169,0.005,1
7,2067,1,0.001660169,0.005,1
7,2068,1,0.001660169,0.005,1
7,2069,1,0.001660169,0.005,1
7,2070,1,0.001660169,0.005,1
7,2071,1,0.001660169,0.005,1
7,2072,1,0.001660169,0.005,1
7,2073,1,0.001660169,0.005,1
7,2074,1,0.001660169,0.005,1
8,1962,1,0,0.005,1
8,1963,1,0,0.005,1
8,1964,1,0,0.005,1
8,1965,1,0,0.005,1
8,1966,1,0,0.005,1
8,1967,1,0,0.005,1
8,1968,1,0,0.005,1
8,1969,1,0,0.005,1
8,1970,1,0,0.005,1
8,1971,1,0,0.005,1
8,1972,1,0,0.005,1
8,1973,1,0,0.005,1
8,1974,1,0,0.005,1
8,1975,1,0,0.005,1
8,1976,1,0,0.005,1
8,1977,1,0,0.005,1
8,1978,1,0,0.005,1
8,1979,1,0,0.005,1
8,1980,1,0,0.005,1
8,1981,1,0,0.005,1
8,1982,1,0,0.005,1
8,1983,1,0,0.005,1
8,1984,1,0,0.005,1
8,1985,1,0,0.005,1
8,1986,1,0,0.005,1
8,1987,1,0,0.005,1
8,1988,1,0,0.005,1
8,1989,1,0,0.005,1
8,1990,1,0,0.005,1
8,1991,1,0,0.005,1
8,1992,1,0,0.005,1
8,1993,1,0,0.005,1
8,1994,1,0,0.005,1
8,1995,1,0,0.005,1
8,1996,1,0,0.005,1
8,1997,1,0,0.005,1
8,1998,1,0,0.005,1
8,1999,1,0,0.005,1
8,2000,1,0,0.005,1
8,2001,1,0,0.005,1
8,2002,1,0,0.005,1
8,2003,1,0,0.005,1
8,2004,1,0,0.005,1
8,2005,1,0,0.005,1
8,2006,1,0.0723482,0.005,1
8,2007,1,0.0858987,0.005,1
8,2008,1,0.0505327,0.005,1
8,2009,1,0.0555677,0.005,1
8,2010,1,0.0551239,0.005,1
8,2011,1,0.050591,0.005,1
8,2012,1,0.0678923,0.005,1
8,2013,1,0.0572554,0.005,1
8,2014,1,0.0422862,0.005,1
8,2015,1,0.0391662,0.005,1
8,2016,1,0.045909,0.005,1
8,2017,1,0.0367545,0.005,1
8,2018,1,0.0307843,0.005,1
8,2019,1,0.0336223,0.005,1
8,2020,1,0.0376798,0.005,1
8,2021,1,0.0145325,0.005,1
8,2022,1,0.00312933,0.005,1
8,2023,1,0.00529121,0.005,1
8,2024,1,0.00856825,0.005,1
8,2025,1,0.0035701,0.005,1
8,2026,1,0.00154161,0.005,1
8,2027,1,0.00154161,0.005,1
8,2028,1,0.00154161,0.005,1
8,2029,1,0.00154161,0.005,1
8,2030,1,0.00154161,0.005,1
8,2031,1,0.00154161,0.005,1
8,2032,1,0.00154161,0.005,1
8,2033,1,0.00154161,0.005,1
8,2034,1,0.00154161,0.005,1
8,2035,1,0.00154161,0.005,1
8,2036,1,0.00154161,0.005,1
8,2037,1,0.00154161,0.005,1
8,2038,1,0.00154161,0.005,1
8,2039,1,0.00154161,0.005,1
8,2040,1,0.00154161,0.005,1
8,2041,1,0.00154161,0.005,1
8,2042,1,0.00154161,0.005,1
8,2043,1,0.00154161,0.005,1
8,2044,1,0.00154161,0.005,1
8,2045,1,0.00154161,0.005,1
8,2046,1,0.00154161,0.005,1
8,2047,1,0.00154161,0.005,1
8,2048,1,0.00154161,0.005,1
8,2049,1,0.00154161,0.005,1
8,2050,1,0.00154161,0.005,1
8,2051,1,0.00154161,0.005,1
8,2052,1,0.00154161,0.005,1
8,2053,1,0.00154161,0.005,1
8,2054,1,0.00154161,0.005,1
8,2055,1,0.00154161,0.005,1
8,2056,1,0.00154161,0.005,1
8,2057,1,0.00154161,0.005,1
8,2058,1,0.00154161,0.005,1
8,2059,1,0.00154161,0.005,1
8,2060,1,0.00154161,0.005,1
8,2061,1,0.00154161,0.005,1
8,2062,1,0.00154161,0.005,1
8,2063,1,0.00154161,0.005,1
8,2064,1,0.00154161,0.005,1
8,2065,1,0.00154161,0.005,1
8,2066,1,0.00154161,0.005,1
8,2067,1,0.00154161,0.005,1
8,2068,1,0.00154161,0.005,1
8,2069,1,0.00154161,0.005,1
8,2070,1,0.00154161,0.005,1
8,2071,1,0.00154161,0.005,1
8,2072,1,0.00154161,0.005,1
8,2073,1,0.00154161,0.005,1
8,2074,1,0.00154161,0.005,1
